epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,5524.04,0.22406,0.15679,0.81178,0.99828,0.99764,0.99499,0.99161,0.14748,0.09635,0.75815,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5633.05,0.22407,0.15771,0.81251,0.99827,0.99776,0.99499,0.9921,0.14817,0.09633,0.75822,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5742.02,0.22098,0.15573,0.80928,0.99835,0.99772,0.99499,0.99185,0.1475,0.09637,0.75779,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5851.28,0.22154,0.15566,0.81085,0.99824,0.99777,0.99499,0.99181,0.14771,0.09602,0.75871,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5960.2,0.21962,0.15436,0.81065,0.99814,0.99781,0.99499,0.99152,0.14624,0.09456,0.75789,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6070.08,0.21949,0.15277,0.80933,0.99842,0.99753,0.99499,0.99159,0.14615,0.0944,0.75792,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6179.05,0.21882,0.1526,0.81031,0.99842,0.99764,0.99499,0.99184,0.14592,0.09319,0.75756,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6287.67,0.2185,0.15231,0.81005,0.99793,0.99764,0.99499,0.99161,0.14559,0.09336,0.75789,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6396.73,0.21647,0.15058,0.80907,0.99817,0.99766,0.99499,0.99187,0.14569,0.09363,0.75743,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6505.17,0.21558,0.15006,0.80982,0.99827,0.99761,0.99499,0.99182,0.14598,0.09261,0.75707,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6614.27,0.21454,0.14817,0.80846,0.99843,0.9981,0.99499,0.99129,0.14508,0.09133,0.75701,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6723.46,0.21399,0.14804,0.80815,0.99886,0.99721,0.99499,0.99133,0.14474,0.09146,0.75695,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6832.36,0.21342,0.14839,0.80865,0.99843,0.99774,0.99499,0.99148,0.14471,0.09025,0.75661,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6941.56,0.21241,0.14679,0.8073,0.99856,0.99779,0.995,0.99161,0.14402,0.09054,0.75674,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7050.97,0.2129,0.14686,0.8089,0.99899,0.9973,0.99499,0.99157,0.1441,0.09051,0.75672,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7160.05,0.21123,0.14522,0.80756,0.99844,0.9979,0.99499,0.99156,0.14401,0.08883,0.75672,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7268.85,0.21197,0.14511,0.80904,0.99971,0.99724,0.995,0.99159,0.14384,0.08925,0.75644,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7378.4,0.21005,0.14404,0.80736,0.99912,0.99754,0.995,0.99136,0.14422,0.09035,0.75704,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7487.45,0.20904,0.14334,0.80745,0.99916,0.99752,0.995,0.99179,0.14397,0.09031,0.75736,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7596.87,0.20794,0.14244,0.80646,0.99897,0.9973,0.995,0.99186,0.14354,0.08983,0.75731,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7705.8,0.20836,0.14242,0.80843,0.99896,0.9973,0.995,0.99184,0.1437,0.08989,0.75741,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7814.57,0.2074,0.14133,0.80673,0.99833,0.99781,0.995,0.99159,0.14353,0.08987,0.75721,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7924.21,0.20544,0.14054,0.80699,0.99846,0.99781,0.995,0.99183,0.14325,0.08964,0.75703,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8033.09,0.20502,0.1393,0.8065,0.99834,0.99797,0.995,0.99185,0.1432,0.0892,0.75681,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8142.31,0.20351,0.13821,0.80569,0.999,0.99733,0.995,0.99159,0.14288,0.08865,0.75676,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8251.38,0.20348,0.13792,0.80506,0.99909,0.99758,0.995,0.99155,0.1425,0.08734,0.75682,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8360.46,0.20235,0.1363,0.8061,0.99912,0.99742,0.99499,0.99161,0.14216,0.08716,0.75641,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8469.73,0.20205,0.13586,0.80475,0.99913,0.99726,0.995,0.99186,0.14218,0.08688,0.75641,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8579.57,0.20082,0.13501,0.80452,0.9993,0.9973,0.995,0.99161,0.14205,0.08649,0.75643,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8689.17,0.19919,0.13395,0.80424,0.99931,0.99729,0.995,0.99162,0.1418,0.08632,0.75579,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8798.85,0.19882,0.13401,0.80429,0.99861,0.9977,0.995,0.99159,0.14178,0.08607,0.75578,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8908.51,0.19815,0.13257,0.8045,0.9986,0.99775,0.995,0.99162,0.14184,0.08641,0.75614,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
